mouse_id,min_deep_bout_min,min_gray_bout_min
N1,0.0,41.0
N10,60.0,30.0
N11,65.0,50.0
N12,0.0,30.0
N13,0.0,30.0
N14,135.0,30.0
N15,0.0,30.0
N16,70.0,30.0
N2,69.76666666666667,34.88333333333333
N3,109.63333333333334,34.88333333333333
N4,64.78333333333333,39.86666666666667
N5,0.0,174.0
N6,64.78333333333333,34.88333333333333
N7,0.0,30.0
N8,0.0,34.88333333333333
N9,65.0,30.0
