datetime,Tb,HR,Act,mouse_id,source_file,Tb_diff,Tb_rate,HR_ratio,hour_sin,hour_cos,training_label,torpor_prob,discovered_state
2023-10-22 16:48:00,37.658,693.222,2.0,F1,22Oct2023.xlsx,-0.1769999999999996,0.0,1.171977903541435,0.9510565162951536,0.3090169943749473,-1,7.296507132763008e-06,Normal
2023-10-22 16:49:00,37.605,692.856,0.0,F1,22Oct2023.xlsx,-0.23000000000000398,-0.05300000000000438,1.1713591350766488,0.9523957996432784,0.3048642990280109,-1,1.436213814620808e-05,Normal
2023-10-22 16:50:00,37.54,698.69,0.0,F1,22Oct2023.xlsx,-0.2950000000000017,-0.06499999999999773,1.1812222367803755,0.9537169507482268,0.30070579950427345,-1,2.401538081289881e-05,Normal
2023-10-22 16:51:00,37.5,726.3,0.0,F1,22Oct2023.xlsx,-0.33500000000000085,-0.03999999999999915,1.2279003715146726,0.9550199444571867,0.2965415749755707,-1,4.284038243569521e-05,Normal
2023-10-22 16:52:00,37.499,738.857,4.0,F1,22Oct2023.xlsx,-0.3359999999999985,-0.0009999999999976694,1.2491295398543527,0.9563047559630354,0.29237170472273677,-1,4.44018194150594e-05,Normal
2023-10-22 16:53:00,37.466,704.085,10.0,F1,22Oct2023.xlsx,-0.3689999999999998,-0.03300000000000125,1.1903431544512024,0.9575713608048143,0.2881962681340896,-1,2.4841796174999374e-05,Normal
2023-10-22 16:54:00,37.423,697.088,0.0,F1,22Oct2023.xlsx,-0.41199999999999903,-0.04299999999999926,1.1785138567787692,0.9588197348681929,0.28401534470392314,-1,2.6595396135195778e-05,Normal
2023-10-22 16:55:00,37.369,678.076,1.0,F1,22Oct2023.xlsx,-0.4660000000000011,-0.054000000000002046,1.1463717090942904,0.9600498543859287,0.2798290140309918,-1,2.285620970428065e-05,Normal
2023-10-22 16:56:00,37.372,681.378,0.0,F1,22Oct2023.xlsx,-0.46300000000000097,0.0030000000000001137,1.1519541502711341,0.9612616959383189,0.27563735581699916,-1,1.469784693097622e-05,Normal
2023-10-22 16:57:00,37.398,716.301,15.0,F1,22Oct2023.xlsx,-0.4369999999999976,0.026000000000003354,1.2109958199316144,0.9624552364536472,0.27144044986507454,-1,2.98558169064384e-05,Normal
2023-10-22 16:58:00,37.427,714.386,0.0,F1,22Oct2023.xlsx,-0.40800000000000125,0.028999999999996362,1.2077582745489204,0.9636304532086228,0.2672383760782574,-1,2.603544016350895e-05,Normal
2023-10-22 16:59:00,37.412,704.646,13.0,F1,22Oct2023.xlsx,-0.4230000000000018,-0.015000000000000568,1.1912915946390306,0.964787323828813,0.2630312144579745,-1,2.7260731020936316e-05,Normal
2023-10-22 17:00:00,37.368,695.316,1.0,F1,22Oct2023.xlsx,-0.46699999999999875,-0.04399999999999693,1.1755180706596395,0.9659258262890683,0.25881904510252074,-1,3.3051244251247557e-05,Normal
2023-10-22 17:01:00,37.366,683.911,0.0,F1,22Oct2023.xlsx,-0.4690000000000012,-0.0020000000000024443,1.1562365014222376,0.9670459389139431,0.25460194820552784,-1,1.7555485682062554e-05,Normal
2023-10-22 17:02:00,37.264,713.492,3.0,F1,22Oct2023.xlsx,-0.570999999999998,-0.10199999999999676,1.2062468564955897,0.9681476403781079,0.25038000405444105,-1,0.0001431560504846382,Normal
2023-10-22 17:03:00,37.358,690.217,0.0,F1,22Oct2023.xlsx,-0.47700000000000387,0.09399999999999409,1.1668975777581478,0.9692309097067544,0.24615329302899294,-1,2.2393931649271893e-05,Normal
2023-10-22 17:04:00,37.369,672.029,0.0,F1,22Oct2023.xlsx,-0.4660000000000011,0.011000000000002785,1.136148504431549,0.9702957262759965,0.2419218955996679,-1,1.2760072730656412e-05,Normal
2023-10-22 17:05:00,37.392,666.123,0.0,F1,22Oct2023.xlsx,-0.44299999999999784,0.02300000000000324,1.12616367778393,0.9713420698132613,0.23768589232617351,-1,1.0050876310611168e-05,Normal
2023-10-22 17:06:00,37.409,711.121,0.0,F1,22Oct2023.xlsx,-0.42600000000000193,0.016999999999995907,1.2022383864682438,0.9723699203976767,0.23344536385590503,-1,2.886357398751028e-05,Normal
2023-10-22 17:07:00,37.42,743.363,0.0,F1,22Oct2023.xlsx,-0.41499999999999915,0.011000000000002785,1.256747492592953,0.9733792584604485,0.22920039092241404,-1,6.695443029847904e-05,Normal
2023-10-22 17:08:00,37.5,676.022,9.0,F1,22Oct2023.xlsx,-0.33500000000000085,0.0799999999999983,1.1428991669449153,0.9743700647852352,0.22495105434386514,-1,1.0176373795061736e-05,Normal
2023-10-22 17:09:00,37.577,717.489,0.0,F1,22Oct2023.xlsx,-0.25800000000000267,0.07699999999999818,1.213004281505839,0.9753423205085126,0.2206974350215015,-1,2.055357670580035e-05,Normal
2023-10-22 17:10:00,37.52,630.87,10.0,F1,22Oct2023.xlsx,-0.3149999999999977,-0.056999999999995055,1.0665641021306094,0.9762960071199334,0.21643961393810268,-1,6.8024292593799254e-06,Normal
2023-10-22 17:11:00,37.501,648.252,0.0,F1,22Oct2023.xlsx,-0.3340000000000032,-0.019000000000005457,1.0959505323353016,0.9772311064626789,0.21217767215644634,-1,6.605100657386822e-06,Normal
2023-10-22 17:12:00,37.501,661.329,0.0,F1,22Oct2023.xlsx,-0.3340000000000032,0.0,1.1180588252697603,0.9781476007338056,0.20791169081775968,-1,7.697716282336003e-06,Normal
2023-10-22 17:13:00,37.493,659.542,2.0,F1,22Oct2023.xlsx,-0.34199999999999875,-0.007999999999995566,1.1150376797873196,0.9790454724845837,0.2036417511401781,-1,8.162919203865106e-06,Normal
2023-10-22 17:14:00,37.504,675.936,1.0,F1,22Oct2023.xlsx,-0.33100000000000307,0.01099999999999568,1.1427537732619328,0.9799247046208297,0.19936793441719697,-1,1.0329105405249396e-05,Normal
2023-10-22 17:15:00,37.544,693.214,0.0,F1,22Oct2023.xlsx,-0.2910000000000039,0.03999999999999915,1.1719643785476694,0.9807852804032304,0.19509032201612833,-1,1.2824698179763508e-05,Normal
2023-10-22 17:16:00,37.543,671.494,16.0,F1,22Oct2023.xlsx,-0.2920000000000016,-0.0009999999999976694,1.1352440204734595,0.9816271834476639,0.19080899537654514,-1,9.07950334255356e-06,Normal
2023-10-22 17:17:00,37.566,699.816,11.0,F1,22Oct2023.xlsx,-0.26899999999999835,0.02300000000000324,1.183125879652915,0.9824503977255098,0.18652403600873435,-1,1.5091701122452949e-05,Normal
2023-10-22 17:18:00,37.577,659.408,0.0,F1,22Oct2023.xlsx,-0.25800000000000267,0.01099999999999568,1.114811136141742,0.9832549075639546,0.18223552549214744,-1,5.960507432974741e-06,Normal
2023-10-22 17:19:00,37.539,668.579,1.0,F1,22Oct2023.xlsx,-0.2959999999999994,-0.0379999999999967,1.1303158508700375,0.9840406976462908,0.177943545473842,-1,1.2736351704519591e-05,Normal
2023-10-22 17:20:00,37.536,644.607,0.0,F1,22Oct2023.xlsx,-0.2989999999999995,-0.0030000000000001137,1.0897882070507483,0.984807753012208,0.17364817766693086,-1,5.6010713132390175e-06,Normal
2023-10-22 17:21:00,37.517,640.502,0.0,F1,22Oct2023.xlsx,-0.31799999999999784,-0.01899999999999835,1.0828481946246604,0.9855560590580779,0.16934950384902409,-1,6.377389853173436e-06,Normal
2023-10-22 17:22:00,37.484,679.8,0.0,F1,22Oct2023.xlsx,-0.3509999999999991,-0.03300000000000125,1.1492863452508253,0.9862856015372314,0.16504760586067738,-1,1.94046901870176e-05,Normal
2023-10-22 17:23:00,37.475,687.023,0.0,F1,22Oct2023.xlsx,-0.35999999999999943,-0.009000000000000341,1.161497723997143,0.9869963665602319,0.1607425656038261,-1,1.913285374563468e-05,Normal
2023-10-22 17:24:00,37.527,682.77,0.0,F1,22Oct2023.xlsx,-0.30799999999999983,0.0519999999999996,1.154307499186387,0.9876883405951377,0.15643446504023115,-1,1.2023600106378427e-05,Normal
2023-10-22 17:25:00,37.575,755.705,4.0,F1,22Oct2023.xlsx,-0.259999999999998,0.04800000000000182,1.2776131767251766,0.9883615104677608,0.15212338618991636,-1,6.238511139138237e-05,Normal
2023-10-22 17:26:00,37.6,762.522,2.0,F1,22Oct2023.xlsx,-0.23499999999999943,0.02499999999999858,1.2891381620378786,0.9890158633619168,0.14780941112961055,-1,7.661290172147791e-05,Normal
2023-10-22 17:27:00,37.647,753.247,0.0,F1,22Oct2023.xlsx,-0.1880000000000024,0.046999999999997044,1.2734576223906273,0.9896513868196701,0.14349262199117951,-1,4.997078955815847e-05,Normal
2023-10-22 17:28:00,37.678,766.798,6.0,F1,22Oct2023.xlsx,-0.15700000000000358,0.030999999999998806,1.296367271205711,0.9902680687415703,0.1391731009600659,-1,7.040862924474247e-05,Normal
2023-10-22 17:29:00,37.775,745.78,4.0,F1,22Oct2023.xlsx,-0.060000000000002274,0.09700000000000131,1.260833731334452,0.9908658973868822,0.13485093027372286,-1,3.221986127870469e-05,Normal
2023-10-22 17:30:00,37.889,755.064,0.0,F1,22Oct2023.xlsx,0.054000000000002046,0.11400000000000432,1.27652948659969,0.9914448613738104,0.1305261922200517,-1,3.4013921300232875e-05,Normal
2023-10-22 17:31:00,37.941,740.851,17.0,F1,22Oct2023.xlsx,0.10600000000000165,0.0519999999999996,1.2525006445504843,0.992004949679715,0.12619896913582995,-1,1.8151222092978936e-05,Normal
2023-10-22 17:32:00,37.88,712.385,25.0,F1,22Oct2023.xlsx,0.045000000000001705,-0.06099999999999994,1.2043753354832438,0.9925461516413221,0.12186934340514705,-1,2.3846440457786294e-05,Normal
2023-10-22 17:33:00,37.894,678.647,0.0,F1,22Oct2023.xlsx,0.0589999999999975,0.013999999999995794,1.147337055524326,0.9930684569549263,0.11753739745783748,-1,4.527301463016639e-06,Normal
2023-10-22 17:34:00,37.844,662.983,0.0,F1,22Oct2023.xlsx,0.009000000000000341,-0.04999999999999716,1.1208551177308441,0.9935718556765875,0.11320321376790683,-1,6.8090330138763095e-06,Normal
2023-10-22 17:35:00,37.779,654.725,0.0,F1,22Oct2023.xlsx,-0.055999999999997385,-0.06499999999999773,1.1068939429160733,0.9940563382223195,0.10886687485196495,-1,8.727119674917702e-06,Normal
2023-10-22 17:36:00,37.731,708.849,0.0,F1,22Oct2023.xlsx,-0.1039999999999992,-0.04800000000000182,1.1983972882387501,0.9945218953682734,0.10452846326765323,-1,2.8569300462062207e-05,Normal
2023-10-22 17:37:00,37.671,647.249,0.0,F1,22Oct2023.xlsx,-0.16400000000000148,-0.060000000000002274,1.0942548362419116,0.9949685182509117,0.10018806161207632,-1,9.939907573929202e-06,Normal
2023-10-22 17:38:00,37.662,672.339,0.0,F1,22Oct2023.xlsx,-0.17300000000000182,-0.009000000000000341,1.1366725979399745,0.9953961983671787,0.09584575252022429,-1,9.757026480345992e-06,Normal
2023-10-22 17:39:00,37.686,667.96,0.0,F1,22Oct2023.xlsx,-0.1490000000000009,0.02400000000000091,1.129269354477407,0.9958049275746617,0.09150161866340296,-1,6.900303196798345e-06,Normal
2023-10-22 17:40:00,37.742,668.041,0.0,F1,22Oct2023.xlsx,-0.09300000000000352,0.055999999999997385,1.129406295039286,0.9961946980917455,0.08715574274765792,-1,5.865811006750179e-06,Normal
2023-10-22 17:41:00,37.756,707.823,0.0,F1,22Oct2023.xlsx,-0.07900000000000063,0.014000000000002899,1.1966627077882832,0.9965655024977614,0.08280820751220436,-1,1.569278997104319e-05,Normal
2023-10-22 17:42:00,37.713,757.852,14.0,F1,22Oct2023.xlsx,-0.12199999999999989,-0.04299999999999926,1.2812429469270792,0.996917333733128,0.07845909572784522,-1,0.00010596713003208238,Normal
2023-10-22 17:43:00,37.757,742.64,1.0,F1,22Oct2023.xlsx,-0.07800000000000296,0.04399999999999693,1.2555251712813664,0.9972501850994856,0.07410849019539979,-1,3.4570472179953634e-05,Normal
2023-10-22 17:44:00,37.819,749.1,3.0,F1,22Oct2023.xlsx,-0.015999999999998238,0.06200000000000472,1.2664466037472688,0.9975640502598242,0.06975647374412523,-1,3.451942834234832e-05,Normal
2023-10-22 17:45:00,37.824,735.312,3.0,F1,22Oct2023.xlsx,-0.011000000000002785,0.0049999999999954525,1.2431362769918726,0.9978589232386035,0.06540312923014327,-1,3.0082617122634208e-05,Normal
2023-10-22 17:46:00,37.752,725.666,1.0,F1,22Oct2023.xlsx,-0.08299999999999841,-0.07199999999999562,1.2268285157587313,0.9981347984218669,0.06104853953485735,-1,6.511575431899437e-05,Normal
2023-10-22 17:47:00,37.777,771.186,0.0,F1,22Oct2023.xlsx,-0.05799999999999983,0.02499999999999858,1.3037857302862652,0.9983916705573489,0.05669278756337693,-1,7.743876326006923e-05,Normal
2023-10-22 17:48:00,37.845,754.443,18.0,F1,22Oct2023.xlsx,0.00999999999999801,0.06799999999999784,1.2754796089586178,0.9986295347545739,0.05233595624294352,-1,3.874759668015817e-05,Normal
2023-10-22 17:49:00,37.961,758.877,0.0,F1,22Oct2023.xlsx,0.12599999999999767,0.11599999999999966,1.2829758367533253,0.9988483864849507,0.04797812852134391,-1,3.87464882021318e-05,Normal
2023-10-22 17:50:00,38.011,740.34,0.0,F1,22Oct2023.xlsx,0.17600000000000193,0.05000000000000426,1.2516367355736924,0.9990482215818578,0.04361938736533623,-1,1.9165351218612e-05,Normal
