cluster,n_samples,T_rel_mean,T_rel_median,T_rel_p10,Slope_abs_mean,n_bouts,bout_min_median,bout_min_p90,torpor_score
1,7482,-1.5315103581929959,-0.6999999999999993,-6.080000000000002,0.0532717090965515,838,30.0,70.0,2.372629730087367
3,44029,-1.751008176429171,-1.7100000000000009,-2.633333333333333,0.015881735634003757,1217,110.0,445.0,1.6743148267722048
0,20107,16.314379146565877,16.275,15.11,0.016249331413133967,6,18147.5,26350.0,-945.5474280833644
2,51434,0.10526778330805843,0.029999999999994,-0.8049999999999997,0.019334970732761136,1122,135.0,505.0,-1000.8912853243913
