cluster,n_samples,T_rel_mean,T_rel_median,T_rel_p10,Slope_abs_mean,n_bouts,bout_min_median,bout_min_p90,torpor_score
2,1497,-5.710682142061901,-6.080000000000002,-12.341999999999999,0.056940318325770733,76,37.5,257.5,5.41715092778688
0,78473,-0.9230060063121492,-1.009999999999998,-2.375,0.01520815865847644,7005,25.0,150.0,-0.02122485197411872
1,20104,16.3156894896538,16.275,15.11,0.016231228523432322,8,14622.5,24032.999999999996,-865.5039763130442
3,22978,-0.09300264745988875,-0.0733333333333305,-1.2850000000000037,0.03542753711843011,7014,10.0,35.0,-1001.3277566669791
