mouse_id,time,X0,X1,X2
N10,2023-08-16 02:40:00,-0.3785883338584621,-0.624416487192796,-9.68932964139639
N10,2023-08-16 02:55:00,-0.4246811126086472,-0.590615116109325,-8.111420182181629
N10,2023-08-16 03:10:00,-0.47077389135883674,-0.5568137450258542,-6.533510722966868
N10,2023-08-16 03:25:00,-0.5168666701090262,-0.5230123739423834,-4.955601263752106
N10,2023-08-16 03:40:00,-0.5629594488592113,-0.4892110028589125,-3.377691804537345
N10,2023-08-16 03:55:00,-0.5184030960673645,-0.40931685302525656,-2.6064059734508707
N10,2023-08-16 04:10:00,-0.4738467432755131,-0.32942270319159617,-1.835120142364394
N10,2023-08-16 04:25:00,-0.4292903904836662,-0.2495285533579358,-1.0638343112779214
N10,2023-08-16 04:40:00,-0.3847340376918192,-0.1696344035242798,-0.2925484801914446
N10,2023-08-16 04:55:00,-0.2403099976078979,-0.2679656648580116,-0.2787206465663877
N10,2023-08-16 05:10:00,-0.09588595752397658,-0.3662969261917434,-0.2648928129413352
N10,2023-08-16 05:25:00,0.04853808255994473,-0.4646281875254796,-0.25106497931627836
N10,2023-08-16 05:40:00,0.19296212264386606,-0.5629594488592113,-0.2372371456912215
N10,2023-08-16 05:55:00,0.19296212264386606,-0.41853540877529005,-0.2787206465663877
N10,2023-08-16 06:10:00,0.19296212264386606,-0.27411136869136876,-0.3202041474415583
N10,2023-08-16 06:25:00,0.19296212264386606,-0.12968732860744744,-0.36168764831672884
N10,2023-08-16 06:40:00,0.19296212264386606,0.01473671147647388,-0.403171149191895
N10,2023-08-16 06:55:00,0.09770371322681064,-0.003700400023601924,-0.4784560211505364
N10,2023-08-16 07:10:00,0.002445303809755222,-0.022137511523673364,-0.5537408931091778
N10,2023-08-16 07:25:00,-0.09281310560729583,-0.040574623023749166,-0.6290257650678149
N10,2023-08-16 07:40:00,-0.18807151502435124,-0.05901173452382497,-0.7043106370264564
N10,2023-08-16 07:55:00,-0.11739592094072877,-0.13890588435748533,-0.6843370995680423
N10,2023-08-16 08:10:00,-0.04672032685711068,-0.21880003419114571,-0.664363562109624
N10,2023-08-16 08:25:00,0.023955267226511784,-0.2986941840248017,-0.64439002465121
N10,2023-08-16 08:40:00,0.09463086131013425,-0.3785883338584621,-0.624416487192796
N10,2023-08-16 08:55:00,0.137650788143643,-0.4246811126086472,-0.590615116109325
N10,2023-08-16 09:10:00,0.18067071497715176,-0.47077389135883674,-0.5568137450258542
N10,2023-08-16 09:25:00,0.22369064181065615,-0.5168666701090262,-0.5230123739423834
N10,2023-08-16 09:40:00,0.2667105686441649,-0.5629594488592113,-0.4892110028589125
N10,2023-08-16 09:55:00,0.34967757039450165,-0.5184030960673645,-0.40931685302525656
N10,2023-08-16 10:10:00,0.43264457214484275,-0.4738467432755131,-0.32942270319159617
N10,2023-08-16 10:25:00,0.5156115738951795,-0.4292903904836662,-0.2495285533579358
N10,2023-08-16 10:40:00,0.5985785756455163,-0.3847340376918192,-0.1696344035242798
N10,2023-08-16 10:55:00,0.43571742406151914,-0.2403099976078979,-0.2679656648580116
N10,2023-08-16 11:10:00,0.27285627247752203,-0.09588595752397658,-0.3662969261917434
N10,2023-08-16 11:25:00,0.1099951208935293,0.04853808255994473,-0.4646281875254796
N10,2023-08-16 11:40:00,-0.05286603069046782,0.19296212264386606,-0.5629594488592113
N10,2023-08-16 11:55:00,-0.08974025369061943,0.19296212264386606,-0.41853540877529005
N10,2023-08-16 12:10:00,-0.12661447669076667,0.19296212264386606,-0.27411136869136876
N10,2023-08-16 12:25:00,-0.16348869969091828,0.19296212264386606,-0.12968732860744744
N10,2023-08-16 12:40:00,-0.2003629226910699,0.19296212264386606,0.01473671147647388
N10,2023-08-16 12:55:00,-0.12046877285740953,0.09770371322681064,-0.003700400023601924
N10,2023-08-16 13:10:00,-0.040574623023749166,0.002445303809755222,-0.022137511523673364
N10,2023-08-16 13:25:00,0.03931952680990683,-0.09281310560729583,-0.040574623023749166
N10,2023-08-16 13:40:00,0.11921367664356719,-0.18807151502435124,-0.05901173452382497
N10,2023-08-16 13:55:00,0.2344456235190366,-0.11739592094072877,-0.13890588435748533
N10,2023-08-16 14:10:00,0.34967757039450603,-0.04672032685711068,-0.21880003419114571
N10,2023-08-16 14:25:00,0.4649095172699754,0.023955267226511784,-0.2986941840248017
N10,2023-08-16 14:40:00,0.5801414641454449,0.09463086131013425,-0.3785883338584621
N10,2023-08-16 14:55:00,0.5939692977705017,0.137650788143643,-0.4246811126086472
