mouse_id,window_time,mean_temp,std_temp,min_temp,max_temp,circadian_strength,ultradian_strength,dominant_period_h
N10,2023-08-16 14:40:00,36.379131944444445,1.8616931154713472,20.67,38.18,0.06151456843683253,0.3772971470718182,48.0
N10,2023-08-17 02:40:00,36.88207465277779,0.5046516296957295,35.52,38.18,0.07898390146530743,0.3129958946746722,48.0
N10,2023-08-17 14:40:00,37.04169270833333,0.5350941802165163,35.65,38.29,0.05364051495971046,0.6460387519136904,4.8
N10,2023-08-18 02:40:00,36.78920138888889,0.8303629888835421,35.18,38.29,0.2961689375897083,0.26862509935245016,24.0
N10,2023-08-18 14:40:00,36.7346875,0.859249182007454,35.18,38.38,0.27144590676311636,0.30325780592026913,24.0
N10,2023-08-19 02:40:00,36.63000868055556,0.9394946796589744,35.18,38.38,0.3813633006182382,0.2828801357269088,24.0
N10,2023-08-19 14:40:00,36.80201388888889,1.04575980079404,35.18,38.41,0.5897370056248022,0.15514346473140614,24.0
N10,2023-08-20 02:40:00,36.90900173611111,0.9180237136733367,35.62,38.41,0.5328401409450494,0.19316659073592726,24.0
N10,2023-08-20 14:40:00,36.971666666666664,0.9488138255422521,35.54,38.41,0.6325673959352037,0.22060435891092883,24.0
N10,2023-08-21 02:40:00,37.01501736111111,0.9102410176177724,35.52,38.41,0.6200238719628854,0.16388041668693348,24.0
N10,2023-08-21 14:40:00,36.864654224537034,0.8759004721602256,35.47,38.4,0.4480819410043715,0.32633547211650366,24.0
N10,2023-08-22 02:40:00,36.8128978587963,0.9267517000586473,35.3,38.4,0.4568806648184162,0.3559995267735734,24.0
N10,2023-08-22 14:40:00,36.938624131944444,0.9519018759234614,35.3,38.31,0.581195171898621,0.24059752743931373,24.0
N10,2023-08-23 02:40:00,36.895024594907404,0.9554711968729676,35.3,38.31,0.5679546814339459,0.31087389692298306,24.0
N10,2023-08-23 14:40:00,36.86437355324074,0.9518928381296061,35.3,38.41,0.6337022457710438,0.22724367282237123,24.0
N10,2023-08-24 02:40:00,36.90798755787037,0.8988485699638067,34.88,38.41,0.6084697152029315,0.1709911839249631,24.0
N10,2023-08-24 14:40:00,36.568285590277775,0.796805218977326,34.88,38.41,0.40477668298400066,0.18717007069311192,24.0
N10,2023-08-25 02:40:00,36.55830005787037,0.8133972091609071,34.88,38.41,0.46043545007143394,0.07673700229095488,24.0
N10,2023-08-25 14:40:00,36.29720825120621,0.7188143481228867,34.84,37.86,0.47907910422333955,0.08746906433844531,24.0
N10,2023-08-26 02:40:00,36.343627378764864,0.7124001560197226,34.84,37.86,0.4377697556993353,0.08705032824896147,24.0
N10,2023-08-26 19:40:00,36.50804507292586,0.733192798054937,34.84,37.71,0.19911505207271546,0.11857714957230543,48.0
N10,2023-08-27 19:15:00,36.52893917014808,0.8115011094805686,34.76,37.8,0.03888767539325305,0.1290670248257345,16.0
N10,2023-08-28 14:30:00,36.519767302870456,0.8311222626919117,34.76,37.8,0.05634896464508034,0.13528865969511658,48.0
N10,2023-08-29 02:30:00,36.41815838680169,0.9642030878106502,34.74,37.95,0.005853548745429645,0.371217004527284,12.0
N10,2023-08-29 16:00:00,36.21684280753968,0.9509858917214987,34.74,37.95,0.07295721148748847,0.2749908680126746,12.0
N10,2023-08-30 04:00:00,36.2181492311508,0.951968982265419,34.7,37.95,0.07810910295497189,0.31060184597427315,12.0
N10,2023-08-30 16:00:00,36.2732421875,0.9692538260211153,34.7,37.95,0.07248823348558847,0.29119379578136856,12.0
