tag,split,auc,ap,f1,tn,fp,fn,tp
GMM,train,0.9998734704435783,0.9993095661194615,0.9916301315265046,5970,16,5,1244
GMM,val,1.0,1.0,1.0,433,0,0,112
GMM,test,1.0,0.9999999999999998,1.0,911,0,0,105
