tag,split,auc,ap,f1,tn,fp,fn,tp
GMM,train,0.9998734704435783,0.9993095661194615,0.9916301315265046,5970,16,5,1244
GMM,val,1.0,1.0,1.0,433,0,0,112
GMM,test,1.0,0.9999999999999998,1.0,911,0,0,105
HMM,train,0.927486918641066,0.8233153127447299,0.7291171632242734,30514,1220,1744,3989
HMM,val,0.9066934740722125,0.8358148533719227,0.7671957671957672,2465,130,310,725
HMM,test,0.9144313697028879,0.7632928096002253,0.7211895910780669,2575,206,169,485
