t_mid,peak_period_min,bp_10_60,spectral_entropy,mouse_id
2023-09-04 13:00:00,59.99999999640001,0.05011939249007678,0.4278561923123634,N1
2023-09-04 13:01:00,59.99999999640001,0.049003221895817003,0.43108977742259574,N1
2023-09-04 13:02:00,59.99999999640001,0.047835906432907374,0.4345188720343224,N1
2023-09-04 13:03:00,59.99999999640001,0.04662697224787174,0.4378828275666711,N1
2023-09-04 13:04:00,59.99999999640001,0.04538644714540037,0.44107391578488,N1
2023-09-04 13:05:00,59.99999999640001,0.04411775770596403,0.4435218563822713,N1
2023-09-04 13:06:00,59.99999999640001,0.04282879824718769,0.44545691644246305,N1
2023-09-04 13:07:00,59.99999999640001,0.041522266185135784,0.4469780264115832,N1
2023-09-04 13:08:00,59.99999999640001,0.04020143321465694,0.44803675296387996,N1
2023-09-04 13:09:00,59.99999999640001,0.03886830926058453,0.4487155735293768,N1
2023-09-04 13:10:00,59.99999999640001,0.03754397613796529,0.4491825113123275,N1
2023-09-04 13:11:00,59.99999999640001,0.03623703331682347,0.4493333506079468,N1
2023-09-04 13:12:00,59.99999999640001,0.0349607469254165,0.44904689172380025,N1
2023-09-04 13:13:00,59.99999999640001,0.03371882592469019,0.4482763653697871,N1
2023-09-04 13:14:00,59.99999999640001,0.03252085509012978,0.44685270194871496,N1
2023-09-04 13:15:00,59.99999999640001,0.03134191386532478,0.44548278331516566,N1
2023-09-04 13:16:00,59.99999999640001,0.030185806562255783,0.44421855399874416,N1
2023-09-04 13:17:00,59.99999999640001,0.02905474451709494,0.44318522005036415,N1
2023-09-04 13:18:00,59.99999999640001,0.02797045120283789,0.44227856949949423,N1
2023-09-04 13:19:00,59.99999999640001,0.026937118728223745,0.44153042210857146,N1
2023-09-04 13:20:00,59.99999999640001,0.025955338503463214,0.4410954768227818,N1
2023-09-04 13:21:00,59.99999999640001,0.025027700366496496,0.44099199844539316,N1
2023-09-04 13:22:00,59.99999999640001,0.024150503142776898,0.44131669105463106,N1
2023-09-04 13:23:00,59.99999999640001,0.023325420557488125,0.442123540636884,N1
2023-09-04 13:24:00,59.99999999640001,0.022556184378381253,0.4433425702320315,N1
2023-09-04 13:25:00,59.99999999640001,0.021847044733879335,0.4449992594427533,N1
2023-09-04 13:26:00,59.99999999640001,0.02120188260007643,0.44689921000462807,N1
2023-09-04 13:27:00,59.99999999640001,0.020620589860151237,0.4488032826877547,N1
2023-09-04 13:28:00,59.99999999640001,0.020103043946121977,0.45020842275389067,N1
2023-09-04 13:29:00,59.99999999640001,0.019652571268122164,0.4504286607264532,N1
2023-09-04 13:30:00,59.99999999640001,0.019279580420732877,0.44788323951334486,N1
2023-09-04 13:31:00,59.99999999640001,0.01898395939246019,0.4427873008870667,N1
2023-09-04 13:32:00,59.99999999640001,0.018765843035392298,0.4359848122264246,N1
2023-09-04 13:33:00,59.99999999640001,0.018624002222411628,0.4286384717351399,N1
2023-09-04 13:34:00,59.99999999640001,0.018556810194770287,0.42194632344335314,N1
2023-09-04 13:35:00,59.99999999640001,0.01856211673194668,0.41711515761648904,N1
2023-09-04 13:36:00,59.99999999640001,0.018637262195695118,0.41437790674884095,N1
2023-09-04 13:37:00,19.9999999996,0.01877866270834415,0.41359679641995845,N1
2023-09-04 13:38:00,19.9999999996,0.018984039413899347,0.4145634243159876,N1
2023-09-04 13:39:00,59.99999999640001,0.01925023158642433,0.4170694507261343,N1
2023-09-04 13:40:00,59.99999999640001,0.019561560472986385,0.42101865569293584,N1
2023-09-04 13:41:00,59.99999999640001,0.01991550264203864,0.42655307257821934,N1
2023-09-04 13:42:00,59.99999999640001,0.020306865340168425,0.43289570251010595,N1
2023-09-04 13:43:00,59.99999999640001,0.02072527711170245,0.4396740827973739,N1
2023-09-04 13:44:00,59.99999999640001,0.021171964586618373,0.44689417960924516,N1
2023-09-04 13:45:00,59.99999999640001,0.02164946964375791,0.45440352327020345,N1
2023-09-04 13:46:00,59.99999999640001,0.022156321876727024,0.4621306503812493,N1
2023-09-04 13:47:00,59.99999999640001,0.022689496577373153,0.47000234202033137,N1
2023-09-04 13:48:00,59.99999999640001,0.023250998479928696,0.47801819322501965,N1
2023-09-04 13:49:00,59.99999999640001,0.023843328356056688,0.485966426947573,N1
2023-09-04 13:50:00,59.99999999640001,0.024465872581140073,0.4929103057423248,N1
2023-09-04 13:51:00,59.99999999640001,0.025119556545616654,0.49862080819886556,N1
2023-09-04 13:52:00,59.99999999640001,0.025804169880283605,0.5028819449137858,N1
2023-09-04 13:53:00,59.99999999640001,0.0265218109048567,0.5054782798187475,N1
2023-09-04 13:54:00,59.99999999640001,0.027271705194449686,0.5062620369174533,N1
2023-09-04 13:55:00,59.99999999640001,0.028063385947684545,0.5059932315461398,N1
2023-09-04 13:56:00,59.99999999640001,0.028893543200800426,0.5050291043760545,N1
2023-09-04 13:57:00,59.99999999640001,0.029759469676538024,0.5037085939647505,N1
2023-09-04 13:58:00,59.99999999640001,0.030658939981466217,0.5024183206038809,N1
2023-09-04 13:59:00,59.99999999640001,0.03158746950079546,0.5016261533222685,N1
2023-09-04 14:00:00,59.99999999640001,0.03254080654072307,0.501968507745713,N1
2023-09-04 14:01:00,59.99999999640001,0.03351378062595707,0.5034902135382772,N1
2023-09-04 14:02:00,59.99999999640001,0.03450144759292894,0.5052819280566482,N1
2023-09-04 14:03:00,59.99999999640001,0.035498776271518234,0.5069673150907464,N1
2023-09-04 14:04:00,59.99999999640001,0.036500704652273716,0.5083526716899631,N1
2023-09-04 14:05:00,59.99999999640001,0.03749988859254627,0.5097642257195372,N1
2023-09-04 14:06:00,59.99999999640001,0.03848909778614753,0.5111003072662359,N1
2023-09-04 14:07:00,59.99999999640001,0.039462088176635095,0.5123015100270222,N1
2023-09-04 14:08:00,39.9999999984,0.0404134487753542,0.5132812939520558,N1
2023-09-04 14:09:00,39.9999999984,0.041339267863674145,0.5139448300338877,N1
2023-09-04 14:10:00,39.9999999984,0.04225673728842182,0.5129950798646066,N1
2023-09-04 14:11:00,39.9999999984,0.04316673566916665,0.5105949043611392,N1
2023-09-04 14:12:00,39.9999999984,0.0440689607919059,0.5068027655877796,N1
2023-09-04 14:13:00,39.9999999984,0.044962004777515635,0.50164067940345,N1
2023-09-04 14:14:00,39.9999999984,0.04584315095628231,0.4951313435837891,N1
2023-09-04 14:15:00,39.9999999984,0.04668880852113103,0.48917369606438327,N1
2023-09-04 14:16:00,39.9999999984,0.04749727695866234,0.48375992137374196,N1
2023-09-04 14:17:00,39.9999999984,0.04826703933415201,0.47886454445003407,N1
2023-09-04 14:18:00,39.9999999984,0.04899783246613231,0.47441145013001973,N1
2023-09-04 14:19:00,39.9999999984,0.04968757826334993,0.47039089031516657,N1
2023-09-04 14:20:00,39.9999999984,0.05033844473059614,0.465687579998993,N1
2023-09-04 14:21:00,39.9999999984,0.050950206030829684,0.4603270863557152,N1
2023-09-04 14:22:00,39.9999999984,0.05152339394633969,0.45438319893858375,N1
2023-09-04 14:23:00,39.9999999984,0.0520577363603164,0.44790409135971415,N1
2023-09-04 14:24:00,39.9999999984,0.05255335519121301,0.4409866834231979,N1
2023-09-04 14:25:00,39.9999999984,0.05301211609959239,0.4339372784061331,N1
2023-09-04 14:26:00,39.9999999984,0.05343416668231527,0.4268928447986004,N1
2023-09-04 14:27:00,39.9999999984,0.053819913448281256,0.41991817333608245,N1
2023-09-04 14:28:00,39.9999999984,0.05417015325538971,0.41308380632019315,N1
2023-09-04 14:29:00,39.9999999984,0.054485985234442647,0.40649004315637616,N1
2023-09-04 14:30:00,39.9999999984,0.054768803242604504,0.4008070426387056,N1
2023-09-04 14:31:00,39.9999999984,0.05501873002740286,0.3959829272184711,N1
2023-09-04 14:32:00,39.9999999984,0.05523581296535973,0.392142381917907,N1
2023-09-04 14:33:00,39.9999999984,0.05542021338952399,0.3893545936910812,N1
2023-09-04 14:34:00,39.9999999984,0.05557231139385368,0.38772914737395553,N1
2023-09-04 14:35:00,39.9999999984,0.05569427450241077,0.387184783219359,N1
2023-09-04 14:36:00,39.9999999984,0.05578732642102416,0.3877256092423826,N1
2023-09-04 14:37:00,39.9999999984,0.055852986768105885,0.3893812793982622,N1
2023-09-04 14:38:00,39.9999999984,0.055892751986772043,0.39212234825668146,N1
2023-09-04 14:39:00,39.9999999984,0.055907847242907954,0.39606001182833395,N1
2023-09-04 14:40:00,39.9999999984,0.055899215093405376,0.4012653924762219,N1
2023-09-04 14:41:00,39.9999999984,0.05586812203766566,0.40826064285330466,N1
2023-09-04 14:42:00,39.9999999984,0.05581519249548898,0.4170685757971325,N1
2023-09-04 14:43:00,39.9999999984,0.055740822784074606,0.4275850976997984,N1
2023-09-04 14:44:00,39.9999999984,0.055644816402703134,0.43970049740344364,N1
2023-09-04 14:45:00,39.9999999984,0.05552673767567316,0.45284767419174277,N1
2023-09-04 14:46:00,39.9999999984,0.05538630867785488,0.4666835971213773,N1
2023-09-04 14:47:00,39.9999999984,0.055223454758752955,0.48079667358953815,N1
2023-09-04 14:48:00,39.9999999984,0.05503813456490073,0.494863261751934,N1
2023-09-04 14:49:00,39.9999999984,0.05483025823299994,0.5086274134782218,N1
2023-09-04 14:50:00,39.9999999984,0.05460389898821814,0.5218830104038619,N1
2023-09-04 14:51:00,39.9999999984,0.05436155569981814,0.5343991631318633,N1
2023-09-04 14:52:00,39.9999999984,0.054106003544970575,0.5459796221788157,N1
2023-09-04 14:53:00,39.9999999984,0.053837958841806866,0.5565061914841486,N1
2023-09-04 14:54:00,39.9999999984,0.053561514398776794,0.5657606309040102,N1
2023-09-04 14:55:00,39.9999999984,0.05326832629603555,0.5736800350316985,N1
2023-09-04 14:56:00,39.9999999984,0.052956850300857505,0.5802395752034045,N1
2023-09-04 14:57:00,39.9999999984,0.052624340360729376,0.5854766616711067,N1
2023-09-04 14:58:00,39.9999999984,0.052265732141800504,0.5894720533544935,N1
2023-09-04 14:59:00,39.9999999984,0.05187794646011056,0.5922841951892551,N1
2023-09-04 15:00:00,59.99999999640001,0.05146456435097522,0.59382129919549,N1
2023-09-04 15:01:00,59.99999999640001,0.051023093093167,0.594092580646338,N1
2023-09-04 15:02:00,59.99999999640001,0.05055373445982335,0.5931182321300517,N1
2023-09-04 15:03:00,59.99999999640001,0.0500587430081018,0.5908906830889238,N1
2023-09-04 15:04:00,59.99999999640001,0.049532495929963165,0.5876273399575925,N1
2023-09-04 15:05:00,59.99999999640001,0.048970456853536064,0.5837906363691713,N1
2023-09-04 15:06:00,59.99999999640001,0.048368312149915695,0.5796674365921406,N1
2023-09-04 15:07:00,59.99999999640001,0.04772012373688163,0.5753757248451052,N1
2023-09-04 15:08:00,59.99999999640001,0.04702652148671059,0.5710504883902268,N1
2023-09-04 15:09:00,59.99999999640001,0.04628222974823467,0.5668803420513535,N1
2023-09-04 15:10:00,59.99999999640001,0.045483513818931044,0.5628218324215565,N1
2023-09-04 15:11:00,59.99999999640001,0.04462799324879807,0.5589796110384392,N1
2023-09-04 15:12:00,59.99999999640001,0.04371389819018459,0.5554484197251819,N1
